user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,location,coordinates,state,country
star nft labs,United States,NFT STAR LABORATORIES . IT IS A TEAM OF 6 PEOPLE THAT HAS DONE A LOT OF RESEARCH AND DEVELOPMENT ON NFT COLLECTIONS SINCE 2019.,2021-10-27 18:30:33+00:00,385,639,1177,False,2022-02-27 22:25:48+00:00,Check out this item on OpenSea https://t.co/X9Jh84P2vf via @opensea #nft #NFTs #NFTGiveaway #NFTCommunity #NFTdrop #NFTProject #NFTartist #nftcollector #NFTCollection #collector #BoredApe #BoredApeYC #MutantApeYachtClub #Metaverse #ethnft #EthereumNFTs #OpenSeaNFT #0xApesTrilogy,"['nft', 'NFTs', 'NFTGiveaway', 'NFTCommunity', 'NFTdrop']",Twitter Web App,False,United States,"(39.7837304, -100.445882, 0.0)",United States,United States
Stefan Sathianathen,"San Francisco, California",$wool 🚀,2013-02-09 22:54:18+00:00,529,448,6426,False,2022-02-27 22:25:41+00:00,"Just made my first #MetaVerse land #NFT purchase! @pixels_online

Solid Dev team, VC funded (listed on @crunchbase
), MMO, P2E, still early, and big partnerships to build. #letsfarm @nftkal https://t.co/5MI0MeBeUh https://t.co/EwR2AMJkN7","['MetaVerse', 'NFT']",Twitter Web App,False,"San Francisco, California, United States","(37.7790262, -122.419906, 0.0)",San Francisco, United States
star nft labs,United States,NFT STAR LABORATORIES . IT IS A TEAM OF 6 PEOPLE THAT HAS DONE A LOT OF RESEARCH AND DEVELOPMENT ON NFT COLLECTIONS SINCE 2019.,2021-10-27 18:30:33+00:00,385,639,1177,False,2022-02-27 22:25:37+00:00,Check out this item on OpenSea https://t.co/Ucgr5lFgnN via @opensea #nft #NFTs #NFTGiveaway #NFTCommunity #NFTdrop #NFTProject #NFTartist #nftcollector #NFTCollection #collector #BoredApe #BoredApeYC #MutantApeYachtClub #Metaverse #ethnft #EthereumNFTs #OpenSeaNFT #0xApesTrilogy,"['nft', 'NFTs', 'NFTGiveaway', 'NFTCommunity', 'NFTdrop']",Twitter Web App,False,United States,"(39.7837304, -100.445882, 0.0)",United States,United States
digital currency,"Chicago, IL",i support all projects and I support the block chain!! 🧨🚀🚀🚀🌍🌍🌍,2021-11-13 02:56:28+00:00,170,227,281,False,2022-02-27 22:25:27+00:00,@meta_ruffy  has 630% apy!! tell me a project doing that I’ll wait lol. #MetaRuffy #BSC #BNB #Metaverse,"['MetaRuffy', 'BSC', 'BNB', 'Metaverse']",Twitter for iPhone,False,"Chicago, Cook County, Illinois, United States","(41.8755616, -87.6244212, 0.0)",Chicago, United States
star nft labs,United States,NFT STAR LABORATORIES . IT IS A TEAM OF 6 PEOPLE THAT HAS DONE A LOT OF RESEARCH AND DEVELOPMENT ON NFT COLLECTIONS SINCE 2019.,2021-10-27 18:30:33+00:00,385,639,1177,False,2022-02-27 22:25:27+00:00,Check out this item on OpenSea https://t.co/Hn5LPPr5GY via @opensea #nft #NFTs #NFTGiveaway #NFTCommunity #NFTdrop #NFTProject #NFTartist #nftcollector #NFTCollection #collector #BoredApe #BoredApeYC #MutantApeYachtClub #Metaverse #ethnft #EthereumNFTs #OpenSeaNFT #0xApesTrilogy,"['nft', 'NFTs', 'NFTGiveaway', 'NFTCommunity', 'NFTdrop']",Twitter Web App,False,United States,"(39.7837304, -100.445882, 0.0)",United States,United States
star nft labs,United States,NFT STAR LABORATORIES . IT IS A TEAM OF 6 PEOPLE THAT HAS DONE A LOT OF RESEARCH AND DEVELOPMENT ON NFT COLLECTIONS SINCE 2019.,2021-10-27 18:30:33+00:00,385,639,1177,False,2022-02-27 22:25:17+00:00,Check out this item on OpenSea https://t.co/k9LgcxPKw1 via @opensea #nft #NFTs #NFTGiveaway #NFTCommunity #NFTdrop #NFTProject #NFTartist #nftcollector #NFTCollection #collector #BoredApe #BoredApeYC #MutantApeYachtClub #Metaverse #ethnft #EthereumNFTs #OpenSeaNFT #0xApesTrilogy,"['nft', 'NFTs', 'NFTGiveaway', 'NFTCommunity', 'NFTdrop']",Twitter Web App,False,United States,"(39.7837304, -100.445882, 0.0)",United States,United States
CCPotts,Michigan USA,"Dad, Goonie, Crypto Investor 
Bezoge, My Pet Hooligan, Alien Inu, Floki, Matic",2012-01-20 06:50:57+00:00,99,179,1776,False,2022-02-27 22:25:17+00:00,"This was a great listen. These teams will revolutionize the space, networking with minds that are building the future of blockchain gaming that will last for years to come. @InuAlien @coinmerge @_megaweapon_ @MyobuOfficial #P2Egaming #SHIB #FLOKI #Metaverse #Crypto #Ethereum https://t.co/bvG5YkT53A",,Twitter Web App,False,"Ship Cam - Port Huron, Michigan USA, Harker Street, Port Huron, Saint Clair County, Michigan, 48060, United States","(42.9986074, -82.4263676, 0.0)",Ship Cam - Port Huron, United States
star nft labs,United States,NFT STAR LABORATORIES . IT IS A TEAM OF 6 PEOPLE THAT HAS DONE A LOT OF RESEARCH AND DEVELOPMENT ON NFT COLLECTIONS SINCE 2019.,2021-10-27 18:30:33+00:00,385,639,1177,False,2022-02-27 22:25:08+00:00,Check out this item on OpenSea https://t.co/hX8vAdwa4l via @opensea #nft #NFTs #NFTGiveaway #NFTCommunity #NFTdrop #NFTProject #NFTartist #nftcollector #NFTCollection #collector #BoredApe #BoredApeYC #MutantApeYachtClub #Metaverse #ethnft #EthereumNFTs #OpenSeaNFT #0xApesTrilogy,"['nft', 'NFTs', 'NFTGiveaway', 'NFTCommunity', 'NFTdrop']",Twitter Web App,False,United States,"(39.7837304, -100.445882, 0.0)",United States,United States
star nft labs,United States,NFT STAR LABORATORIES . IT IS A TEAM OF 6 PEOPLE THAT HAS DONE A LOT OF RESEARCH AND DEVELOPMENT ON NFT COLLECTIONS SINCE 2019.,2021-10-27 18:30:33+00:00,385,639,1177,False,2022-02-27 22:24:59+00:00,Check out this item on OpenSea https://t.co/RpPY2Z0uOG via @opensea #nft #NFTs #NFTGiveaway #NFTCommunity #NFTdrop #NFTProject #NFTartist #nftcollector #NFTCollection #collector #BoredApe #BoredApeYC #MutantApeYachtClub #Metaverse #ethnft #EthereumNFTs #OpenSeaNFT #0xApesTrilogy,"['nft', 'NFTs', 'NFTGiveaway', 'NFTCommunity', 'NFTdrop']",Twitter Web App,False,United States,"(39.7837304, -100.445882, 0.0)",United States,United States
star nft labs,United States,NFT STAR LABORATORIES . IT IS A TEAM OF 6 PEOPLE THAT HAS DONE A LOT OF RESEARCH AND DEVELOPMENT ON NFT COLLECTIONS SINCE 2019.,2021-10-27 18:30:33+00:00,385,639,1177,False,2022-02-27 22:24:50+00:00,Check out this item on OpenSea https://t.co/XNzlCc4QAH via @opensea #nft #NFTs #NFTGiveaway #NFTCommunity #NFTdrop #NFTProject #NFTartist #nftcollector #NFTCollection #collector #BoredApe #BoredApeYC #MutantApeYachtClub #Metaverse #ethnft #EthereumNFTs #OpenSeaNFT #0xApesTrilogy,"['nft', 'NFTs', 'NFTGiveaway', 'NFTCommunity', 'NFTdrop']",Twitter Web App,False,United States,"(39.7837304, -100.445882, 0.0)",United States,United States
